"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"13","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"13","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"13","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"13","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","us","10.72"
"14","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Mbyte","5.04"
"14","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"14","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"14","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"14","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","us","10.50"
"15","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Mbyte","4.98"
"15","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"15","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"15","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"15","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","us","10.59"
"16","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Mbyte","4.98"
"16","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"16","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"16","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"16","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","us","10.53"
"17","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Mbyte","4.88"
"17","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"17","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"17","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"17","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","us","10.82"
"18","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Mbyte","4.82"
"18","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"18","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"18","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"18","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","us","10.82"
"19","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Mbyte","4.82"
"19","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"19","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"19","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
"19","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","us","10.59"
"20","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Mbyte","4.89"
"20","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"20","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg","","n/a"
"20","209809","run_profiler","127.0.0.1","striped_box_coloring_half_SymGS_kernel(int, long, int, int, int, int, int, int, long, long, int, int, long *, double *, double *, double *)","1","7","(1024, 1, 1)","(42, 1, 1)","0","9.0","Command line profiler metrics","gpu__dram_throughput.avg","","n/a"
